"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","boot_mean","ci_low","ci_up","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total"
"1","(Intercept)",786718.775275474,123514847.718249,0.424619241201273,786718.775275474,0.38955939819036,123514847.718249,0.424619241201273,786718.775275474,0.38955939819036,TRUE,0.55543133093,0.917822802140221,0.869038173845625,0.841105875815372,0.0600723204089825,0.0788759079517248,0.114139032334982,0.0788759079517248,0.553185027749793,0,136355.371119087,136355.371119087,65481090.2533626,1e-04,"1_444_1",1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","trend",0,0,0,0,0,0,0,0,0,TRUE,0.55543133093,0.917822802140221,0.869038173845625,0.841105875815372,0.0600723204089825,0.0788759079517248,0.114139032334982,0.0788759079517248,0.553185027749793,0,136355.371119087,136355.371119087,65481090.2533626,1e-04,"1_444_1",1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","season",0.322090137055582,117913.904027114,0.000405364321618113,751.043974694991,0.000371894313433958,117913.904027114,0.000405364321618113,751.043974694991,0.000371894313433958,TRUE,0.55543133093,0.917822802140221,0.869038173845625,0.841105875815372,0.0600723204089825,0.0788759079517248,0.114139032334982,0.0788759079517248,0.553185027749793,0,136355.371119087,136355.371119087,65481090.2533626,1e-04,"1_444_1",1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","holiday",0.712428599071681,4958175.05090113,0.0170452100840477,198327.002036045,0.0982055468690283,4958175.05090113,0.0170452100840477,198327.002036045,0.0982055468690283,TRUE,0.55543133093,0.917822802140221,0.869038173845625,0.841105875815372,0.0600723204089825,0.0788759079517248,0.114139032334982,0.0788759079517248,0.553185027749793,0,136355.371119087,136355.371119087,65481090.2533626,1e-04,"1_444_1",1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","competitor_sales_B",0.136040341595497,118523369.431772,0.407459541281539,754925.919947591,0.373816535584918,118523369.431772,0.407459541281539,754925.919947591,0.373816535584918,TRUE,0.55543133093,0.917822802140221,0.869038173845625,0.841105875815372,0.0600723204089825,0.0788759079517248,0.114139032334982,0.0788759079517248,0.553185027749793,0,136355.371119087,136355.371119087,65481090.2533626,1e-04,"1_444_1",1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","events",0,0,0,0,0,0,0,0,0,TRUE,0.55543133093,0.917822802140221,0.869038173845625,0.841105875815372,0.0600723204089825,0.0788759079517248,0.114139032334982,0.0788759079517248,0.553185027749793,0,136355.371119087,136355.371119087,65481090.2533626,1e-04,"1_444_1",1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","tv_S",360358.029884385,8739070.20381745,0.0300431683097266,55662.8675402385,0.0275625723727418,8739070.20381745,0.0300431683097266,55662.8675402385,0.0275625723727418,TRUE,0.55543133093,0.917822802140221,0.869038173845625,0.841105875815372,0.0600723204089825,0.0788759079517248,0.114139032334982,0.0788759079517248,0.553185027749793,0,136355.371119087,136355.371119087,65481090.2533626,1e-04,"1_444_1",1,1,1,4.018319883,2.2248413774,5.8161166079,1,2591412.14666667,16505.80985138,25307.9487439131,8802.13889253309,32505.3931635778,0.206047362680601,0.261847050260723,1.96933040282541,3.37231968872976,0.296531791852945
"8","ooh_S",178774.162147551,6821141.95240583,0.0234497161552893,43446.7640280626,0.0215135265357868,6821141.95240583,0.0234497161552893,43446.7640280626,0.0215135265357868,TRUE,0.55543133093,0.917822802140221,0.869038173845625,0.841105875815372,0.0600723204089825,0.0788759079517248,0.114139032334982,0.0788759079517248,0.553185027749793,0,136355.371119087,136355.371119087,65481090.2533626,1e-04,"1_444_1",1,1,1,0.90122589407,0.25627393645,1.5411272449,1,8239693.86666667,52482.1265392781,71654.2576707728,19172.1311314946,56013.0679977961,0.655151359349006,0.204380541406673,1.0672789326834,0.827839245339013,1.20796399256293
"9","print_S",96597.6534804122,1682639.34034591,0.00578457613082193,10717.448027681,0.00530695686312803,1682639.34034591,0.00578457613082193,10717.448027681,0.00530695686312803,TRUE,0.55543133093,0.917822802140221,0.869038173845625,0.841105875815372,0.0600723204089825,0.0788759079517248,0.114139032334982,0.0788759079517248,0.553185027749793,0,136355.371119087,136355.371119087,65481090.2533626,1e-04,"1_444_1",1,1,1,3.4909017695,0.56612554361,6.3815435665,1,601634.977777778,3832.06992215145,4807.10436284011,975.034440688658,8052.80761828573,0.0478369682055284,0.0504165932583724,2.10142502143192,2.79677778469758,0.357554327509124
"10","facebook_S",150042.869904766,3877831.02863383,0.0133312042989465,24699.5606919352,0.0122304771426707,3877831.02863383,0.0133312042989465,24699.5606919352,0.0122304771426707,TRUE,0.55543133093,0.917822802140221,0.869038173845625,0.841105875815372,0.0600723204089825,0.0788759079517248,0.114139032334982,0.0788759079517248,0.553185027749793,0,136355.371119087,136355.371119087,65481090.2533626,1e-04,"1_444_1",1,1,1,15.4363856453,5.5272510522,25.3768530595,1,334078.021992166,2127.88549039596,2369.46723663706,241.5817462411,13349.3426017445,0.0265630827769259,0.116190692210451,6.27352489689678,11.6075610287371,0.0861507423931936
