"","ds","tv_S","ooh_S","print_S","facebook_S","search_S","newsletter","type","solID"
"1",2015-11-23,22358.3466666667,0,12728.4888888889,7607.1329148046,0,19401.6538461538,"rawMedia","1_444_1"
"2",2015-11-30,28613.4533333333,0,0,1141.95245035415,4133.33333333333,14791,"rawMedia","1_444_1"
"3",2015-12-07,0,132278.4,453.866666666667,4256.37537782657,3786.66666666667,14544,"rawMedia","1_444_1"
"4",2015-12-14,83450.3066666667,0,17680,2800.49067685105,4253.33333333333,2800,"rawMedia","1_444_1"
"5",2015-12-21,0,277336,0,689.582605192027,3613.33333333333,15478,"rawMedia","1_444_1"
"6",2015-12-28,33225.3066666667,0,31922.3111111111,5337.0051734019,3773.33333333333,13817,"rawMedia","1_444_1"
"7",2016-01-04,687.053333333333,226753.6,0,3623.01223287033,3706.66666666667,28817,"rawMedia","1_444_1"
"8",2016-01-11,2952.22666666667,0,23581.2888888889,4129.8161531585,4266.66666666667,19082,"rawMedia","1_444_1"
"9",2016-01-18,0,0,0,3623.01223287033,3053.33333333333,19679,"rawMedia","1_444_1"
"10",2016-01-25,0,0,11243.9111111111,3002.69058507969,3053.33333333333,15095,"rawMedia","1_444_1"
"11",2016-02-01,16511.8266666667,42477.3333333333,0,0,2746.66666666667,9795,"rawMedia","1_444_1"
"12",2016-02-08,0,0,4763.55555555556,3564.38219778663,2693.33333333333,10876,"rawMedia","1_444_1"
"13",2016-02-15,66276.44,0,2448.4,1448.59774023091,0,19401.6538461538,"rawMedia","1_444_1"
"14",2016-02-22,0,0,0,0,0,19401.6538461538,"rawMedia","1_444_1"
"15",2016-02-29,41556.2933333333,0,0,2415.59640398059,2293.33333333333,583,"rawMedia","1_444_1"
"16",2016-03-07,0,0,16506.0888888889,0,2826.66666666667,8224,"rawMedia","1_444_1"
"17",2016-03-14,19772.44,43994.1333333333,0,0,2373.33333333333,5311,"rawMedia","1_444_1"
"18",2016-03-21,0,0,0,0,2293.33333333333,7428,"rawMedia","1_444_1"
"19",2016-03-28,0,66088.5333333333,13579.4222222223,6471.04840519463,2533.33333333333,10025,"rawMedia","1_444_1"
"20",2016-04-04,0,0,0,20.8373114038425,1906.66666666667,9460,"rawMedia","1_444_1"
"21",2016-04-11,0,66413.8666666667,0,0,1866.66666666667,2964,"rawMedia","1_444_1"
"22",2016-04-18,11126.7333333333,0,0,2348.68785330482,1786.66666666667,11663,"rawMedia","1_444_1"
"23",2016-04-25,0,0,0,0,1800,6317,"rawMedia","1_444_1"
"24",2016-05-02,0,0,12518.5777777778,0,1266.66666666667,5408,"rawMedia","1_444_1"
"25",2016-05-09,0,49957.8666666667,0,0,1426.66666666667,1900,"rawMedia","1_444_1"
"26",2016-05-16,0,0,0,3673.93077397783,0,19401.6538461538,"rawMedia","1_444_1"
"27",2016-05-23,0,124442.666666667,0,0,0,19401.6538461538,"rawMedia","1_444_1"
"28",2016-05-30,0,0,0,0,1346.66666666667,9003,"rawMedia","1_444_1"
"29",2016-06-06,0,0,0,0,1200,4305,"rawMedia","1_444_1"
"30",2016-06-13,0,0,0,0,1520,7217,"rawMedia","1_444_1"
"31",2016-06-20,20472.3866666667,123908.266666667,0,2553.15584799705,1626.66666666667,1983,"rawMedia","1_444_1"
"32",2016-06-27,0,0,0,0,1506.66666666667,3437,"rawMedia","1_444_1"
"33",2016-07-04,10121.0133333333,0,5168.4,0,1746.66666666667,4147,"rawMedia","1_444_1"
"34",2016-07-11,0,0,0,0,1906.66666666667,8479,"rawMedia","1_444_1"
"35",2016-07-18,1900.41333333333,319643.2,4780.66666666667,3552.81495682237,1426.66666666667,6348,"rawMedia","1_444_1"
"36",2016-07-25,0,0,0,0,1946.66666666667,13762,"rawMedia","1_444_1"
"37",2016-08-01,28180.2533333333,164217.066666667,0,5102.03141577443,2280,11841,"rawMedia","1_444_1"
