"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","facebook_S",1,41,10.3920896891494,0.632954156485451,"[2.18, 18.57]",2.18317495866544,18.5655435895403,4.00315357792933,0.246350260472056
"2","facebook_S",2,26,15.4363856453315,0.945072677686626,"[5.53, 25.38]",5.52725105217543,25.3768530594549,4.72536338843313,0.295962917011573
"3","facebook_S",3,10,5.15093106352692,0.592041267841044,"[0.93, 9.4]",0.931202496994043,9.40161868838843,1.77612380352313,0.121441048469097
"4","facebook_S",4,16,25.7088773441116,0.879538810117224,"[18.19, 33.19]",18.1932372871645,33.1907780641768,3.4064391639271,0.220307263685521
"5","facebook_S",5,8,19.9871053345743,3.01437433016634,"[0, 40.11]",0,40.1099316466613,7.97528483607703,0.566267690089044
"6","ooh_S",1,41,1.3973947348268,0.0371547397855084,"[0.92, 1.88]",0.915983922542528,1.87763752306584,0.234987207186165,0.01446088903935
"7","ooh_S",2,26,0.90122589407297,0.0611740102502811,"[0.26, 1.54]",0.256273936446255,1.54112724490256,0.305870051251406,0.0191575092016072
"8","ooh_S",3,10,0.497290020659387,0.0674463207407503,"[0.02, 0.98]",0.0159049857942364,0.980868812278401,0.202338962222251,0.0138347651608956
"9","ooh_S",4,16,1.3921220015689,0.0776587552754522,"[0.73, 2.06]",0.734887118213412,2.05909286733821,0.300771065869024,0.0194519987965944
"10","ooh_S",5,8,0.584941830578571,0.0701019485260433,"[0.12, 1.06]",0.117508189675994,1.0552153195125,0.185472322220962,0.0132187047906912
"11","print_S",1,41,3.86460915786221,0.218880015895399,"[1.04, 6.7]",1.03596569196613,6.70110442213986,1.38431876904664,0.0851896592754244
"12","print_S",2,26,3.4909017694519,0.276881757162752,"[0.57, 6.38]",0.566125543610923,6.38154356649789,1.38440878581376,0.0867094504496413
"13","print_S",3,10,1.91327261945371,0.253236620219864,"[0.11, 3.73]",0.105055835549387,3.72814713792839,0.759709860659593,0.0519445557949312
"14","print_S",4,16,8.39914223907764,0.607737467803406,"[3.23, 13.59]",3.229241779326,13.5921357758797,2.35375709166886,0.152226345251429
"15","print_S",5,8,2.48266395831219,0.194125080434984,"[1.19, 3.78]",1.18554387732117,3.78222593582833,0.513606686071379,0.0366050043499992
"16","search_S",1,41,18.2659229832073,0.854031608791786,"[7.18, 29.28]",7.17937918215642,29.2837614573801,5.40137015511985,0.332395177630943
"17","search_S",2,26,17.5246979508766,1.06903036592595,"[6.33, 28.79]",6.33298912169276,28.7861060071253,5.34515182962977,0.334782025703961
"18","search_S",3,10,5.84306827992365,0.91594141716029,"[0, 12.41]",0,12.4136382451264,2.74782425148087,0.180901886344325
"19","search_S",4,16,15.1625571017845,0.80854065591245,"[8.33, 22.12]",8.33094495875487,22.1178538676444,3.13146449508054,0.202523615141926
"20","search_S",5,8,13.7722095578363,2.06600786744216,"[0, 27.58]",0,27.5802157752276,5.46614302395486,0.38901516993068
"21","tv_S",1,41,4.49731739835318,0.195196078282339,"[1.97, 7.02]",1.96854294626048,7.02068468031336,1.23452839540944,0.075971702271432
"22","tv_S",2,26,4.01831988299538,0.170986607047449,"[2.22, 5.82]",2.22484137735003,5.81611660792268,0.854933035237245,0.0535468818287591
"23","tv_S",3,10,1.13320497169652,0.107309566942445,"[0.36, 1.9]",0.363615280179041,1.89890807595903,0.321928700827336,0.0220116181559057
"24","tv_S",4,16,3.57092521345301,0.143797963322996,"[2.35, 4.81]",2.35307849437641,4.80506332299418,0.55692711716851,0.0360185763934827
"25","tv_S",5,8,6.88137742205053,0.471062442239794,"[3.74, 10.04]",3.73812314296874,10.039212056672,1.24631407414922,0.0888254248687044
