"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",922117.102194786,144772385.044581,0.497007640063211,922117.102194786,0.468351928558182,144772385.044581,0.497007640063211,922117.102194786,0.468351928558182,TRUE,0.53670960353,0.86910492281153,0.781483987786596,0.790899295667246,0.0763180899679829,0.100087937151928,0.132537822813707,0.100087937151928,0.626050866079742,0,424154.793158085,0.006378153561,65481090.2533626,1e-04,"1_282_1",1,282,1,282,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"2","trend",0,0,0,0,0,0,0,0,0,TRUE,0.53670960353,0.86910492281153,0.781483987786596,0.790899295667246,0.0763180899679829,0.100087937151928,0.132537822813707,0.100087937151928,0.626050866079742,0,424154.793158085,0.006378153561,65481090.2533626,1e-04,"1_282_1",1,282,1,282,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"3","season",0.263975216748441,96638.626248406,0.000331763102168141,615.532651263732,0.000312634809205613,96638.626248406,0.000331763102168141,615.532651263732,0.000312634809205613,TRUE,0.53670960353,0.86910492281153,0.781483987786596,0.790899295667246,0.0763180899679829,0.100087937151928,0.132537822813707,0.100087937151928,0.626050866079742,0,424154.793158085,0.006378153561,65481090.2533626,1e-04,"1_282_1",1,282,1,282,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"4","holiday",0.485006003660209,3375418.49108638,0.0115879059253183,135016.739643455,0.0685762689458203,3375418.49108638,0.0115879059253183,135016.739643455,0.0685762689458203,TRUE,0.53670960353,0.86910492281153,0.781483987786596,0.790899295667246,0.0763180899679829,0.100087937151928,0.132537822813707,0.100087937151928,0.626050866079742,0,424154.793158085,0.006378153561,65481090.2533626,1e-04,"1_282_1",1,282,1,282,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"5","competitor_sales_B",0.0967902704689901,84327258.0004823,0.289497831225997,537116.292996703,0.272806405050157,84327258.0004823,0.289497831225997,537116.292996703,0.272806405050157,TRUE,0.53670960353,0.86910492281153,0.781483987786596,0.790899295667246,0.0763180899679829,0.100087937151928,0.132537822813707,0.100087937151928,0.626050866079742,0,424154.793158085,0.006378153561,65481090.2533626,1e-04,"1_282_1",1,282,1,282,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"6","events",0,0,0,0,0,0,0,0,0,TRUE,0.53670960353,0.86910492281153,0.781483987786596,0.790899295667246,0.0763180899679829,0.100087937151928,0.132537822813707,0.100087937151928,0.626050866079742,0,424154.793158085,0.006378153561,65481090.2533626,1e-04,"1_282_1",1,282,1,282,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"7","tv_S",392945.470437692,11197182.9921816,0.0384402418498967,71319.6368928761,0.0362239127799973,11197182.9921816,0.0384402418498967,71319.6368928761,0.0362239127799973,TRUE,0.53670960353,0.86910492281153,0.781483987786596,0.790899295667246,0.0763180899679829,0.100087937151928,0.132537822813707,0.100087937151928,0.626050866079742,0,424154.793158085,0.006378153561,65481090.2533626,1e-04,"1_282_1",1,282,1,282,8,2591412.14666667,16505.80985138,27811.5138062077,11305.7039548276,53548.0037076165,0.206047362680601,0.246832875912673,3.24419123870734,4.32088080106613,0.231434294543201,2,FALSE,4.01831988299538,0.170986607047449,2.22484137735003,5.81611660792268,0.283184919995405
"8","ooh_S",197697.7111901,7013658.9351745,0.0240780869535713,44672.9868482452,0.0226898291930934,7013658.9351745,0.0240780869535713,44672.9868482452,0.0226898291930934,TRUE,0.53670960353,0.86910492281153,0.781483987786596,0.790899295667246,0.0763180899679829,0.100087937151928,0.132537822813707,0.100087937151928,0.626050866079742,0,424154.793158085,0.006378153561,65481090.2533626,1e-04,"1_282_1",1,282,1,282,8,8239693.86666667,52482.1265392781,69898.484463934,17416.3579246559,58164.5551587404,0.655151359349006,0.154610459331472,1.10827359701611,0.851203824883345,1.17480675105877,2,FALSE,0.90122589407297,0.0611740102502811,0.256273936446255,1.54112724490256,0.455040683479536
"9","print_S",102755.183629085,1915475.24931423,0.00657588001308396,12200.4792949951,0.00619673791272781,1915475.24931423,0.00657588001308396,12200.4792949951,0.00619673791272781,TRUE,0.53670960353,0.86910492281153,0.781483987786596,0.790899295667246,0.0763180899679829,0.100087937151928,0.132537822813707,0.100087937151928,0.626050866079742,0,424154.793158085,0.006378153561,65481090.2533626,1e-04,"1_282_1",1,282,1,282,8,601634.977777778,3832.06992215145,4699.65358717493,867.583665023482,10221.5703299273,0.0478369682055284,0.0422251083025,2.66737573624142,3.18378305794206,0.314091752421845,2,FALSE,3.4909017694519,0.276881757162752,0.566125543610923,6.38154356649789,0.0957916500731103
"10","facebook_S",271162.887871059,6074468.18762574,0.0208538188939916,38690.8801759601,0.0196514610832981,6074468.18762574,0.0208538188939916,38690.8801759601,0.0196514610832981,TRUE,0.53670960353,0.86910492281153,0.781483987786596,0.790899295667246,0.0763180899679829,0.100087937151928,0.132537822813707,0.100087937151928,0.626050866079742,0,424154.793158085,0.006378153561,65481090.2533626,1e-04,"1_282_1",1,282,1,282,8,334078.021992166,2127.88549039596,2382.77320853623,254.887718140265,15643.8852870377,0.0265630827769259,0.133906756140241,7.35184546238275,18.1827830259608,0.0549970815013427,2,FALSE,15.4363856453315,0.945072677686626,5.52725105217543,25.3768530594549,0.00530865115116779
